filename,structure,parent,is_parent,strain,verdict,ops,n_ops,nsym,spacegroup,parent_verdict,verdict_same_as_parent,msg_type,bns,uni,sse_eV,gamma_avg_meV,m1_muB,m2_muB,m1_abs_muB,m_asymmetry_muB,antiparallel,m_total_abs_muB
POSCAR_Ag2F6_3,Ag2F6_3,Ag2F6_3,True,none,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.042023,0.744,0.102,-0.102,0.102,0.0,True,0.0
POSCAR_Ag2F6_3_st950,Ag2F6_3_st950,Ag2F6_3,False,st950,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.036292,0.529,0.078,-0.078,0.078,0.0,True,0.0
POSCAR_Ag2F6_3_st975,Ag2F6_3_st975,Ag2F6_3,False,st975,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.03876,0.579,0.088,-0.088,0.088,0.0,True,0.0
POSCAR_Ag2F6_3_x950,Ag2F6_3_x950,Ag2F6_3,False,x950,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.003334,0.115,-0.004,0.004,0.004,0.0,True,0.001
POSCAR_Ag2F6_3_y950,Ag2F6_3_y950,Ag2F6_3,False,y950,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.005466,0.179,0.006,-0.006,0.006,0.0,True,0.001
POSCAR_Ag2F6_3_y975,Ag2F6_3_y975,Ag2F6_3,False,y975,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.00841,0.347,0.008,-0.007,0.008,0.001,True,0.003
POSCAR_Ag2F6_3_z025,Ag2F6_3_z025,Ag2F6_3,False,z025,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.077982,2.191,0.109,-0.108,0.109,0.0010000000000000009,True,0.002
POSCAR_Ag2F6_3_z950,Ag2F6_3_z950,Ag2F6_3,False,z950,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.015396,0.156,0.015,-0.015,0.015,0.0,True,0.0
POSCAR_Ag2F6_3_z975,Ag2F6_3_z975,Ag2F6_3,False,z975,compensated_FiM_candidate,,0,2,P-1,compensated_FiM_candidate,True,1,2.4,4,0.064037,1.319,0.096,-0.096,0.096,0.0,True,0.001
POSCAR_Al10Fe2_1,Al10Fe2_1,Al10Fe2_1,True,none,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4_1/amd,conventional_AFM_inversion,True,3,141.558,1218,0.042896,3.525,3.038,-3.04,3.038,0.002000000000000224,True,0.002
POSCAR_Al10Fe2_1_st950,Al10Fe2_1_st950,Al10Fe2_1,False,st950,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4_1/amd,conventional_AFM_inversion,True,3,141.558,1218,0.019014,4.105,2.798,-2.802,2.798,0.0040000000000000036,True,0.002
POSCAR_Al10Fe2_1_st975,Al10Fe2_1_st975,Al10Fe2_1,False,st975,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,8,16,I4_1/amd,conventional_AFM_inversion,True,3,141.558,1218,0.042746,4.551,2.935,-2.938,2.935,0.0030000000000001137,True,0.003
POSCAR_Al10Fe2_1_x025,Al10Fe2_1_x025,Al10Fe2_1,False,x025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,141.558,1218,0.021152,3.728,3.065,-3.068,3.065,0.0030000000000001137,True,0.003
POSCAR_Al10Fe2_1_x975,Al10Fe2_1_x975,Al10Fe2_1,False,x975,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,141.558,1218,0.047069,3.407,3.004,-3.007,3.004,0.0030000000000001137,True,0.003
POSCAR_Al10Fe2_1_y975,Al10Fe2_1_y975,Al10Fe2_1,False,y975,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,141.558,1218,0.033551,3.122,3.007,-3.011,3.007,0.0040000000000000036,True,0.003
POSCAR_Al10Fe2_1_z050,Al10Fe2_1_z050,Al10Fe2_1,False,z050,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/c,conventional_AFM_inversion,True,3,141.558,1218,0.021833,6.381,3.26,-3.264,3.26,0.0040000000000000036,True,0.004
POSCAR_Al2Fe2_2,Al2Fe2_2,Al2Fe2_2,True,none,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.082671,3.702,3.074,-3.077,3.074,0.0030000000000001137,True,0.004
POSCAR_Al2Fe2_2_st025,Al2Fe2_2_st025,Al2Fe2_2,False,st025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.013031,2.619,3.225,-3.226,3.225,0.0009999999999998899,True,0.002
POSCAR_Al2Fe2_2_st950,Al2Fe2_2_st950,Al2Fe2_2,False,st950,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.013366,1.246,2.67,-2.67,2.67,0.0,True,0.0
POSCAR_Al2Fe2_2_x025,Al2Fe2_2_x025,Al2Fe2_2,False,x025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.027716,3.166,3.16,-3.16,3.16,0.0,True,0.0
POSCAR_Al2Fe2_2_x050,Al2Fe2_2_x050,Al2Fe2_2,False,x050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.007001,1.63,3.175,-3.175,3.175,0.0,True,0.0
POSCAR_Al2Fe2_2_x950,Al2Fe2_2_x950,Al2Fe2_2,False,x950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.010943,1.769,2.784,-2.785,2.784,0.001000000000000334,True,0.001
POSCAR_Al2Fe2_2_x975,Al2Fe2_2_x975,Al2Fe2_2,False,x975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.031944,3.587,2.824,-2.826,2.824,0.002000000000000224,True,0.001
POSCAR_Al2Fe2_2_y025,Al2Fe2_2_y025,Al2Fe2_2,False,y025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.014834,2.961,3.138,-3.14,3.138,0.002000000000000224,True,0.002
POSCAR_Al2Fe2_2_y950,Al2Fe2_2_y950,Al2Fe2_2,False,y950,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,12.60,67,0.005462,1.022,2.804,-2.805,2.804,0.001000000000000334,True,0.001
POSCAR_Al2Fe2_2_z050,Al2Fe2_2_z050,Al2Fe2_2,False,z050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.017962,2.822,2.914,-2.913,2.914,0.001000000000000334,True,0.0
POSCAR_Al2Fe2_2_z950,Al2Fe2_2_z950,Al2Fe2_2,False,z950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.00829,1.616,2.938,-2.938,2.938,0.0,True,0.0
POSCAR_Al2Fe2_2_z975,Al2Fe2_2_z975,Al2Fe2_2,False,z975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,12.60,67,0.006618,1.228,3.055,-3.055,3.055,0.0,True,0.0
POSCAR_Al2Mn2_2,Al2Mn2_2,Al2Mn2_2,True,none,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,conventional_AFM_translation,True,4,123.348,1008,0.011028,2.083,4.106,-4.103,4.106,0.0030000000000001137,True,0.003
POSCAR_Al2Mn2_2_st950,Al2Mn2_2_st950,Al2Mn2_2,False,st950,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,conventional_AFM_translation,True,4,123.348,1008,0.011499,2.432,3.786,-3.784,3.786,0.002000000000000224,True,0.002
POSCAR_Al2Mn2_2_st975,Al2Mn2_2_st975,Al2Mn2_2,False,st975,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,conventional_AFM_translation,True,4,123.348,1008,0.011657,2.327,3.947,-3.943,3.947,0.0040000000000000036,True,0.004
POSCAR_Al2Mn2_2_x025,Al2Mn2_2_x025,Al2Mn2_2,False,x025,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16,Pmmm,conventional_AFM_translation,True,4,123.348,1008,0.00999,2.01,4.154,-4.153,4.154,0.001000000000000334,True,0.001
POSCAR_Al2Mn2_2_x050,Al2Mn2_2_x050,Al2Mn2_2,False,x050,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16,Pmmm,conventional_AFM_translation,True,4,123.348,1008,0.010084,1.957,4.201,-4.2,4.201,0.0009999999999994458,True,0.001
POSCAR_Al2Mn2_2_y025,Al2Mn2_2_y025,Al2Mn2_2,False,y025,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16,Pmmm,conventional_AFM_translation,True,4,123.348,1008,0.009996,2.01,4.154,-4.153,4.154,0.001000000000000334,True,0.001
POSCAR_Al2Mn2_2_y050,Al2Mn2_2_y050,Al2Mn2_2,False,y050,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,8,16,Pmmm,conventional_AFM_translation,True,4,123.348,1008,0.01009,1.958,4.201,-4.2,4.201,0.0009999999999994458,True,0.001
POSCAR_Al2Mn2_2_z025,Al2Mn2_2_z025,Al2Mn2_2,False,z025,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,Pm-3m,conventional_AFM_translation,True,4,123.348,1008,0.010663,2.201,4.136,-4.133,4.136,0.0030000000000001137,True,0.003
POSCAR_Al2Mn2_2_z050,Al2Mn2_2_z050,Al2Mn2_2,False,z050,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,Pm-3m,conventional_AFM_translation,True,4,123.348,1008,0.009765,2.11,4.176,-4.174,4.176,0.0019999999999997797,True,0.001
POSCAR_Al2Mn2_2_z950,Al2Mn2_2_z950,Al2Mn2_2,False,z950,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,conventional_AFM_translation,True,4,123.348,1008,0.010735,2.614,4.007,-4.005,4.007,0.0019999999999997797,True,0.002
POSCAR_Al2Mn2_2_z975,Al2Mn2_2_z975,Al2Mn2_2,False,z975,conventional_AFM_translation,inversion|mirror/rotoinv|rotation|translation,16,32,P4/mmm,conventional_AFM_translation,True,4,123.348,1008,0.010537,2.233,4.041,-4.04,4.041,0.001000000000000334,True,0.001
POSCAR_Al3Fe2_2,Al3Fe2_2,Al3Fe2_2,True,none,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Immm,conventional_AFM_inversion,True,3,71.535,633,0.013452,2.111,2.842,-2.842,2.842,0.0,True,0.001
POSCAR_Al3Fe2_2_st975,Al3Fe2_2_st975,Al3Fe2_2,False,st975,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,4,8,Immm,conventional_AFM_inversion,True,3,71.535,633,0.01104,2.393,2.627,-2.628,2.627,0.001000000000000334,True,0.0
POSCAR_Al3Fe2_2_x025,Al3Fe2_2_x025,Al3Fe2_2,False,x025,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.008255,1.356,2.859,-2.861,2.859,0.002000000000000224,True,0.001
POSCAR_Al3Fe2_2_x050,Al3Fe2_2_x050,Al3Fe2_2,False,x050,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.007952,1.385,2.935,-2.936,2.935,0.0009999999999998899,True,0.002
POSCAR_Al3Fe2_2_x950,Al3Fe2_2_x950,Al3Fe2_2,False,x950,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.009013,1.012,2.717,-2.717,2.717,0.0,True,0.0
POSCAR_Al3Fe2_2_x975,Al3Fe2_2_x975,Al3Fe2_2,False,x975,conventional_AFM_inversion,inversion|mirror/rotoinv,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.008457,1.182,2.801,-2.801,2.801,0.0,True,0.0
POSCAR_Al3Fe2_2_y025,Al3Fe2_2_y025,Al3Fe2_2,False,y025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.011615,1.063,2.88,-2.882,2.88,0.002000000000000224,True,0.001
POSCAR_Al3Fe2_2_y050,Al3Fe2_2_y050,Al3Fe2_2,False,y050,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.010364,1.67,2.917,-2.917,2.917,0.0,True,0.001
POSCAR_Al3Fe2_2_y975,Al3Fe2_2_y975,Al3Fe2_2,False,y975,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,71.535,633,0.010483,2.031,2.694,-2.693,2.694,0.0009999999999998899,True,0.002
POSCAR_Al3Fe2_2_z025,Al3Fe2_2_z025,Al3Fe2_2,False,z025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,71.535,633,0.007795,1.295,2.869,-2.869,2.869,0.0,True,0.0
POSCAR_Al3Fe2_2_z050,Al3Fe2_2_z050,Al3Fe2_2,False,z050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,71.535,633,0.013742,1.616,2.892,-2.892,2.892,0.0,True,0.0
POSCAR_Al3Fe2_2_z950,Al3Fe2_2_z950,Al3Fe2_2,False,z950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,71.535,633,0.00858,1.901,2.731,-2.731,2.731,0.0,True,0.0
POSCAR_Al3Fe2_2_z975,Al3Fe2_2_z975,Al3Fe2_2,False,z975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,71.535,633,0.008667,1.184,2.807,-2.807,2.807,0.0,True,0.0
POSCAR_Al5Mn2_1,Al5Mn2_1,Al5Mn2_1,True,none,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,R-3m,conventional_AFM_inversion,True,3,166.99,1329,0.015454,3.305,4.217,-4.216,4.217,0.0009999999999994458,True,0.001
POSCAR_Al5Mn2_1_st025,Al5Mn2_1_st025,Al5Mn2_1,False,st025,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,R-3m,conventional_AFM_inversion,True,3,166.99,1329,0.013926,3.247,4.311,-4.312,4.311,0.001000000000000334,True,0.001
POSCAR_Al5Mn2_1_st050,Al5Mn2_1_st050,Al5Mn2_1,False,st050,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,R-3m,conventional_AFM_inversion,True,3,166.99,1329,0.015113,3.766,4.388,-4.388,4.388,0.0,True,0.001
POSCAR_Al5Mn2_1_st975,Al5Mn2_1_st975,Al5Mn2_1,False,st975,conventional_AFM_inversion,inversion|mirror/rotoinv|rotation,6,12,R-3m,conventional_AFM_inversion,True,3,166.99,1329,0.015802,4.124,4.1,-4.098,4.1,0.0019999999999997797,True,0.003
POSCAR_Al5Mn2_1_x025,Al5Mn2_1_x025,Al5Mn2_1,False,x025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.015286,3.898,4.251,-4.25,4.251,0.001000000000000334,True,0.002
POSCAR_Al5Mn2_1_x050,Al5Mn2_1_x050,Al5Mn2_1,False,x050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.015588,3.857,4.283,-4.281,4.283,0.002000000000000668,True,0.003
POSCAR_Al5Mn2_1_x950,Al5Mn2_1_x950,Al5Mn2_1,False,x950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.014834,4.508,4.14,-4.14,4.14,0.0,True,0.001
POSCAR_Al5Mn2_1_x975,Al5Mn2_1_x975,Al5Mn2_1,False,x975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.014906,3.873,4.18,-4.181,4.18,0.001000000000000334,True,0.0
POSCAR_Al5Mn2_1_y025,Al5Mn2_1_y025,Al5Mn2_1,False,y025,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.015101,3.946,4.251,-4.251,4.251,0.0,True,0.001
POSCAR_Al5Mn2_1_y050,Al5Mn2_1_y050,Al5Mn2_1,False,y050,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.015316,4.542,4.283,-4.282,4.283,0.001000000000000334,True,0.003
POSCAR_Al5Mn2_1_y950,Al5Mn2_1_y950,Al5Mn2_1,False,y950,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.014216,3.848,4.141,-4.141,4.141,0.0,True,0.001
POSCAR_Al5Mn2_1_y975,Al5Mn2_1_y975,Al5Mn2_1,False,y975,conventional_AFM_inversion,inversion,1,2,P-1,conventional_AFM_inversion,True,3,166.99,1329,0.01486,5.05,4.181,-4.179,4.181,0.0019999999999997797,True,0.003
POSCAR_Al5Mn2_1_z025,Al5Mn2_1_z025,Al5Mn2_1,False,z025,conventional_AFM_inversion,inversion|rotation,2,4,C2/m,conventional_AFM_inversion,True,3,166.99,1329,0.01486,4.49,4.254,-4.254,4.254,0.0,True,0.0
