filename,parent,sse,avg_bond_length,max_bond_length,min_bond_length,std_bond_length,center_max_angle,center_min_angle,center_avg_angle,center_std_angle,nonmag_max_angle,nonmag_min_angle,nonmag_std_angle,labelled_1st,labelled_2nd,labelled_3rd,global_1st,global_2nd,global_3rd,avg_long_axis,avg_short_axis,avg_axis_ratio,avg_s,avg_delta,motif0_nonmag_count,magnetic_atomic_number,magnetic_electronegativity,nonmagnetic_atomic_number,nonmagnetic_electronegativity,hungarian_rotation_angle_deg,dimension,avg_motif_measure,unit_cell_volume,packing_fraction,characteristic_length_ratio,p_metric,p_metric_std,d_orb_e,p_orb_e_non,d_lone_pair,proxy_M_magnet,delta_chi,abs_delta_chi,delta_Z,abs_delta_Z,pd_ratio,ax_eq_gap,bond_range,bond_cv,center_angle_spread,nonmag_angle_spread,delta_chi_times_axeq,d_global_local_1st,d_global_local_2nd,d_global_local_3rd,gamma point average splitting,ion1 tot,tot_mag
POSCAR_Ag2F6_3,Ag2F6_3,0.042023,2.059812463827404,2.0713027579750287,2.048707330201238,0.0091897950987238,179.93494513934746,89.26503822775499,107.98385411200206,35.9704860568889,90.62946496368856,44.47141305959238,16.436339941671747,3.98477059158997,6.845202227782547,7.072060634854589,3.98477059158997,5.616773026568954,5.845994671696136,4.141934922714306,2.89268700021038,1.4318700915748284,0.0044660188356437,0.0005224822155573,6,47,1.93,9,3.98,95.5842141171802,3,11.650894755442785,130.85210845499014,0.0890386474700971,0.4465391260874157,0.1704576407432547,0.0696653729148841,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0114902941476247,0.02259542777379,0.0044614695748458,90.66990691159248,46.15805190409617,0.0235551030026306,0.0,-1.228429201213593,-1.2260659631584527,0.744,0.102,0.0
POSCAR_Ag2F6_3_st950,Ag2F6_3,0.036292,1.9568218406360331,1.967737620076294,1.9462719636911787,0.0087303053437868,179.93494513935616,89.26503822775474,107.98385411200373,35.97048605689227,90.62946496368863,44.47141305959221,16.436339941671747,3.7855320620104864,6.502942116393451,6.717853461058854,3.7855320620104864,5.335934375240507,5.553694938111329,3.934838176578585,2.7480526501998463,1.4318700915748344,0.0044660188356433,0.0005224822155604,6,47,1.93,9,3.98,95.58421411718078,3,9.989185890947754,112.18932648659718,0.0890386474700971,0.4465391260874156,0.1704576407432547,0.0696653729148828,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0109157794402605,0.0214656563851152,0.0044614694608476,90.66990691160142,46.15805190409644,0.0223773478525341,0.0,-1.1670077411529445,-1.1641585229475249,0.529,0.078,0.0
POSCAR_Ag2F6_3_st975,Ag2F6_3,0.03876,2.008317152231719,2.0195201890256698,1.9974896469462105,0.0089600502212547,179.93494513934883,89.26503822775473,107.9838541120029,35.9704860568906,90.62946496368863,44.47141305959218,16.436339941671747,3.885151326800236,6.674072172088016,6.894639078455141,3.885151326800236,5.47635370090473,5.699844804903734,4.038386549646443,2.8203698252051046,1.4318700915748346,0.0044660188356432,0.0005224822155604,6,47,1.93,9,3.98,95.58421411718078,3,10.79874103122048,121.2815034600244,0.0890386474700971,0.4465391260874157,0.170457640743255,0.0696653729148828,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0112030367939506,0.0220305420794595,0.004461469519308,90.6699069115941,46.15805190409647,0.0229662254275987,0.0,-1.1977184711832851,-1.1947942735514072,0.579,0.088,0.0
POSCAR_Ag2F6_3_x950,Ag2F6_3,0.003334,2.0263040044669727,2.0536135959465014,2.0035801811917717,0.0210134539107628,179.93303486860452,86.81558758209347,107.98398051460607,36.017022403302136,91.431832296532,43.16607428478567,16.48737369968817,3.9558309511533474,6.587800175268073,6.731493920631849,3.9558309511533474,5.335934375213922,5.573151516094529,4.106896476443217,2.7662369951047743,1.484813855800744,0.0103723792112739,0.0005112764714723,6,47,1.93,9,3.98,29.2916889943245,3,11.068350017541992,124.30950303079575,0.0890386474700971,0.4465391260874157,0.1676052158490165,0.0587541561646908,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0273095914795287,0.0500334147547301,0.010370331151746,93.11744728651104,48.265758011746335,0.0559846625330338,0.0,-1.2518658000541505,-1.1583424045373203,0.115,0.004,0.001
POSCAR_Ag2F6_3_y950,Ag2F6_3,0.005466,2.026214992613853,2.0586514254068784,1.9893041334605872,0.0291229291480826,179.93714064067126,86.90027305982022,107.98396130605536,36.010028448062485,91.96999131391392,42.87938915452558,16.494419267699662,3.887439681045063,4.052620403400759,6.728801526030742,3.887439681045063,4.052620403400759,5.373231464492922,4.116547035668008,2.766233329318175,1.4883003081871675,0.0143746170862002,0.0005285997571656,6,47,1.93,9,3.98,95.5922525084861,3,11.068350017690328,124.30950303246168,0.0890386474700971,0.4465391260874157,0.1714648121575116,0.0753729221330563,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0324364327930255,0.0693472919462911,0.0143730625235632,93.03686758085104,49.09060215938834,0.0664946872257023,0.0,0.0,-1.3555700615378203,0.179,0.006,0.001
POSCAR_Ag2F6_3_y975,Ag2F6_3,0.00841,2.042808656640972,2.0648139817693827,2.0205735356260903,0.0178920721435724,179.9360267064843,88.28076738246634,107.98390469414788,35.979045323184714,91.24971676724188,43.75320359439886,16.45135585548274,3.9357711878692903,4.05319372905207,6.788362587133641,3.9357711878692903,4.05319372905207,5.5146322924704245,4.128914207974134,2.834863972060654,1.4565299207507365,0.0087613598818552,0.0005255298061124,6,47,1.93,9,3.98,95.59107018051,3,11.35962238648554,127.58080574281604,0.0890386474700971,0.4465391260874157,0.1709682191393949,0.0725175602556526,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0220053251284104,0.0442404461432923,0.008758560586106,91.65525932401798,47.49651317284303,0.0451109165132414,0.0,0.0,-1.273730294663216,0.347,0.008,0.003
POSCAR_Ag2F6_3_z025,Ag2F6_3,0.077982,2.0771092264141755,2.094996524903045,2.0561677791414925,0.0158581745685398,179.93508129281258,88.70097683606946,107.98396266949229,35.9783816848865,91.07613920546264,43.90724517312585,16.44912506570099,4.034489554332996,6.902388213845381,7.074836456417286,4.034489554332996,5.616773026564502,5.784494381601208,4.189668781250031,2.9014698768847214,1.4439830789785963,0.0076390555592415,0.0005198720025818,6,47,1.93,9,3.98,91.74421749244506,3,11.942167124171334,134.1234111645958,0.0890386474700971,0.4465391260874157,0.1695260098610145,0.0672138742850265,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0178872984888696,0.0388287457615526,0.0076347294269099,91.23410445674313,47.1688940323368,0.0366689619021826,0.0,-1.2856151872808788,-1.2903420748160777,2.191,0.109,0.002
POSCAR_Ag2F6_3_z950,Ag2F6_3,0.015396,2.026437213559954,2.057371489439196,2.00143236664548,0.0231341758385433,179.9347319691023,86.50418445817301,107.9836404993784,36.02104179772134,91.59514650469488,42.99950608821382,16.491560350148532,3.887290801901064,4.049228612258862,6.73160502509797,3.887290801901064,4.049228612258862,5.379551952036931,4.114197537268334,2.756274745056848,1.492664934000087,0.0114178902082304,0.0005278031173659,6,47,1.93,9,3.98,166.85337650567092,3,11.06835001750017,124.30950303032604,0.0890386474700971,0.4465391260874157,0.1722803388980187,0.0745730728415095,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0309342758792414,0.055939122793716,0.0114161762661898,93.43054751092927,48.59564041648105,0.063415265552445,0.0,0.0,-1.3520530730610387,0.156,0.015,0.0
POSCAR_Ag2F6_3_z975,Ag2F6_3,0.064037,2.04291917021251,2.058353452390979,2.032261650007745,0.0111524626109999,179.93482827448605,87.900608975192,107.98374668642695,35.984516235062216,90.74509076262672,43.87383958811073,16.450007191048353,3.935696203426519,4.049873708584865,6.788272332446271,3.935696203426519,4.049873708584865,5.521119108669431,4.116153011312893,2.8253699265525203,1.456857186305914,0.0054632236133875,0.0005251264892841,6,47,1.93,9,3.98,166.83542790943594,3,11.35962238639056,127.58080574174927,0.0890386474700971,0.4465391260874157,0.1713763452619615,0.0721192842042253,10,5,0,1.73,-2.05,2.05,38,38,0.499999950000005,0.0154342821784694,0.0260918023832337,0.0054590790054414,92.03421929929404,46.871251174516,0.0316402784658623,0.0,0.0,-1.26715322377684,1.319,0.096,0.001
POSCAR_Al10Fe2_1,Al10Fe2_1,0.042896,2.80250476009267,2.882342083820232,2.748272846144582,0.0559845850353317,179.97552266593317,58.22629791501747,98.16815766880497,36.437643278741554,122.09674587160586,28.3063836851194,23.720262898236754,6.054099737767579,7.28253178737188,8.335357396831755,4.051378558691246,5.759568349116664,6.054099737767579,5.76317403972967,2.7507996427206303,2.095092038746969,0.0199757759084391,0.0003733611610312,12,26,1.83,13,1.61,179.9712124911137,3,51.69300106094037,189.31323985658983,0.2730553927453741,0.648759284318158,8.702782981970793e-06,0.0009877916663011,7,1,4,4.9,0.2199999999999999,0.2199999999999999,13,13,0.1428571224489825,0.079837323727562,0.13406923767565,0.0199766172946172,121.7492247509157,93.79036218648646,0.0175642112200636,-2.002721179076333,-1.522963438255216,-2.281257659064176,3.525,3.038,0.002
