filename,parent,sse,msbi,msbi_shap,mpf,mpf_shap,pd_ratio,pd_ratio_shap
POSCAR_Ag2F6_3,Ag2F6_3,0.042023,0.17045765,0.014967993,0.08903865,-0.060504396,0.49999994,0.017881086
POSCAR_Ag2F6_3_st950,Ag2F6_3,0.036292,0.17045765,0.0158138,0.08903865,-0.060119174,0.49999994,0.017948003
POSCAR_Ag2F6_3_st975,Ag2F6_3,0.03876,0.17045765,0.015081379,0.08903865,-0.060745727,0.49999994,0.017935662
POSCAR_Ag2F6_3_x950,Ag2F6_3,0.003334,0.16760522,0.017429963,0.08903865,-0.058055434,0.49999994,0.018322747
POSCAR_Ag2F6_3_y950,Ag2F6_3,0.005466,0.17146482,0.017432185,0.08903865,-0.056906734,0.49999994,0.01888582
POSCAR_Ag2F6_3_y975,Ag2F6_3,0.00841,0.17096822,0.016278693,0.08903865,-0.05731189,0.49999994,0.018325113
POSCAR_Ag2F6_3_z025,Ag2F6_3,0.077982,0.16952601,0.015652033,0.08903865,-0.059181802,0.49999994,0.017964758
POSCAR_Ag2F6_3_z950,Ag2F6_3,0.015396,0.17228034,0.017155448,0.08903865,-0.05668861,0.49999994,0.018817741
POSCAR_Ag2F6_3_z975,Ag2F6_3,0.064037,0.17137635,0.015902422,0.08903865,-0.057834566,0.49999994,0.01823287
POSCAR_Al10Fe2_1,Al10Fe2_1,0.042896,8.702783e-06,-0.21446024,0.2730554,0.014384406,0.14285712,0.0028839165
POSCAR_Al10Fe2_1_st950,Al10Fe2_1,0.019014,8.702783e-06,-0.21800229,0.2730554,0.014454816,0.14285712,0.002552438
POSCAR_Al10Fe2_1_st975,Al10Fe2_1,0.042746,8.702783e-06,-0.21720394,0.2730554,0.01443432,0.14285712,0.002576578
POSCAR_Al10Fe2_1_x025,Al10Fe2_1,0.021152,8.666595e-06,-0.21726172,0.2730554,0.014372221,0.14285712,0.0031569193
POSCAR_Al10Fe2_1_x975,Al10Fe2_1,0.047069,8.739864e-06,-0.21292269,0.2730554,0.014169774,0.14285712,0.0023732665
POSCAR_Al10Fe2_1_y975,Al10Fe2_1,0.033551,8.84043e-06,-0.21212499,0.2730554,0.014329368,0.14285712,0.0026927672
POSCAR_Al10Fe2_1_z050,Al10Fe2_1,0.021833,9.047712e-06,-0.20906617,0.2730554,0.014201966,0.14285712,0.0025687302
POSCAR_Al2Fe2_2,Al2Fe2_2,0.082671,0.0014800074,-0.23850657,0.5,0.018829484,0.14285712,0.0006476484
POSCAR_Al2Fe2_2_st025,Al2Fe2_2,0.013031,0.0014800074,-0.23818953,0.5,0.018796114,0.14285712,0.000720514
POSCAR_Al2Fe2_2_st950,Al2Fe2_2,0.013366,0.0014800074,-0.23706223,0.5,0.018731799,0.14285712,0.00033622785
POSCAR_Al2Fe2_2_x025,Al2Fe2_2,0.027716,0.0014921911,-0.23862779,0.5,0.018978717,0.14285712,0.0006351865
POSCAR_Al2Fe2_2_x050,Al2Fe2_2,0.007001,0.0015041725,-0.23953784,0.5,0.01899843,0.14285712,0.0005695053
POSCAR_Al2Fe2_2_x950,Al2Fe2_2,0.010943,0.0020400558,-0.22844495,0.25172096,0.01713511,0.14285712,-0.0006609596
POSCAR_Al2Fe2_2_x975,Al2Fe2_2,0.031944,0.0014676222,-0.23884983,0.5,0.018818308,0.14285712,0.0006099205
POSCAR_Al2Fe2_2_y025,Al2Fe2_2,0.014834,0.0014717665,-0.2360499,0.5,0.018473918,0.14285712,0.00029826368
POSCAR_Al2Fe2_2_y950,Al2Fe2_2,0.005462,0.0014961001,-0.23903912,0.5,0.018897258,0.14285712,0.0005502001
POSCAR_Al2Fe2_2_z050,Al2Fe2_2,0.017962,0.0014712663,-0.23778696,0.5,0.01876397,0.14285712,0.0007725806
POSCAR_Al2Fe2_2_z950,Al2Fe2_2,0.00829,0.0014876378,-0.23844394,0.5,0.018602766,0.14285712,0.0001895251
POSCAR_Al2Fe2_2_z975,Al2Fe2_2,0.006618,0.0014839697,-0.24036826,0.5,0.019031532,0.14285712,0.0005470881
POSCAR_Al2Mn2_2,Al2Mn2_2,0.011028,1.5641076e-06,-0.22228606,0.5,0.015698206,0.16666664,-0.0002926746
POSCAR_Al2Mn2_2_st950,Al2Mn2_2,0.011499,1.5641076e-06,-0.22458798,0.5,0.01541978,0.16666664,-0.0003508373
POSCAR_Al2Mn2_2_st975,Al2Mn2_2,0.011657,1.5641076e-06,-0.22363524,0.5,0.015535505,0.16666664,-0.00035940408
POSCAR_Al2Mn2_2_x025,Al2Mn2_2,0.00999,1.5396605e-06,-0.22234195,0.5,0.015757736,0.16666664,-0.00030814667
POSCAR_Al2Mn2_2_x050,Al2Mn2_2,0.010084,1.515455e-06,-0.2222778,0.5,0.015613121,0.16666664,-0.00047990854
POSCAR_Al2Mn2_2_y025,Al2Mn2_2,0.009996,1.5390261e-06,-0.22234197,0.5,0.015757736,0.16666664,-0.00030814667
POSCAR_Al2Mn2_2_y050,Al2Mn2_2,0.01009,1.5141927e-06,-0.22227383,0.5,0.01561082,0.16666664,-0.00047861197
POSCAR_Al2Mn2_2_z025,Al2Mn2_2,0.010663,1.6136912e-06,-0.21544486,0.5,0.015682548,0.16666664,-0.0004247444
POSCAR_Al2Mn2_2_z050,Al2Mn2_2,0.009765,1.6628927e-06,-0.21610565,0.5,0.015430148,0.16666664,-0.00017362893
POSCAR_Al2Mn2_2_z950,Al2Mn2_2,0.010735,1.4639639e-06,-0.22431877,0.5,0.015765455,0.16666664,-0.00043133093
POSCAR_Al2Mn2_2_z975,Al2Mn2_2,0.010537,1.5141836e-06,-0.22336751,0.5,0.015756354,0.16666664,-0.00033579444
POSCAR_Al3Fe2_2,Al3Fe2_2,0.013452,0.0015788322,-0.22848998,0.39465696,0.017694863,0.14285712,9.174305e-05
POSCAR_Al3Fe2_2_st975,Al3Fe2_2,0.01104,0.0015788322,-0.22675551,0.39465696,0.017536107,0.14285712,-1.9618353e-06
POSCAR_Al3Fe2_2_x025,Al3Fe2_2,0.008255,0.0015640862,-0.22845365,0.39465696,0.017636858,0.14285712,0.000101721365
POSCAR_Al3Fe2_2_x050,Al3Fe2_2,0.007952,0.0015498447,-0.22831716,0.39465696,0.017538758,0.14285712,0.00015925412
POSCAR_Al3Fe2_2_x950,Al3Fe2_2,0.009013,0.0016066729,-0.22868787,0.39465696,0.017683743,0.14285712,0.000110022316
POSCAR_Al3Fe2_2_x975,Al3Fe2_2,0.008457,0.0015940827,-0.22869757,0.39465696,0.017710296,0.14285712,7.605066e-05
POSCAR_Al3Fe2_2_y025,Al3Fe2_2,0.011615,0.0015635946,-0.23025115,0.39465696,0.017879888,0.14285712,0.00017003954
POSCAR_Al3Fe2_2_y050,Al3Fe2_2,0.010364,0.0015488561,-0.23494512,0.39465696,0.018253231,0.14285712,0.00035548123
POSCAR_Al3Fe2_2_y975,Al3Fe2_2,0.010483,0.0015945608,-0.22738111,0.39465696,0.017639333,0.14285712,-0.00010145084
POSCAR_Al3Fe2_2_z025,Al3Fe2_2,0.007795,0.0016096024,-0.22860655,0.39465696,0.017766103,0.14285712,5.4789227e-05
POSCAR_Al3Fe2_2_z050,Al3Fe2_2,0.013742,0.0016390025,-0.22801453,0.39465696,0.017682627,0.14285712,0.0001224765
POSCAR_Al3Fe2_2_z950,Al3Fe2_2,0.00858,0.0015191912,-0.22810198,0.39465696,0.017723802,0.14285712,4.493395e-05
POSCAR_Al3Fe2_2_z975,Al3Fe2_2,0.008667,0.0015486653,-0.22865428,0.39465696,0.017779572,0.14285712,2.4271692e-05
POSCAR_Al5Mn2_1,Al5Mn2_1,0.015454,2.9866595e-05,-0.23277225,0.28703734,0.017439963,0.16666664,-0.0017605553
